seed,min_h,min_h_slot,final_h,liquidations,force_closes,users_liquidated,users_with_positions,insurance_end,c_tot_end,pnl_pos_tot_end,h_zero_slots,h_zero_first_slot,h_below_50_slots,h_below_10_slots,min_true_h,min_residual,withdraw_attempts,withdraw_successes,close_attempts,close_successes
184,0.197950,590,0.195781,4070,52,1540,2001,355155284350,89735185107755,166749316367655,0,never,480,0,0.197950,3999093216437,25,18,35,15
185,0.210903,590,0.208616,3741,61,1570,2001,308085448072,95047147316080,175210232347110,0,never,490,0,0.210903,4054835650944,24,16,36,15
186,0.193195,595,0.191114,3784,57,1521,2001,334886813275,96152233919669,177362053923382,0,never,490,0,0.193195,4070942543170,23,20,37,18
187,0.209659,590,0.207388,4015,48,1524,2001,333866511000,98922259616208,179320958836318,0,never,485,0,0.209659,4106451690640,23,15,37,12
188,0.218987,595,0.216724,3952,51,1534,2001,335250887022,98071695244875,165803057672776,0,never,480,0,0.218987,4026964061569,20,13,40,17
189,0.207979,595,0.205695,4083,58,1533,2001,335458218288,91783921729650,162212185204772,0,never,485,0,0.207979,3953884220351,23,17,37,10
190,0.207474,590,0.205288,4036,70,1528,2001,315368578192,93653827688411,166246515849345,0,never,480,0,0.207474,4015337357407,24,17,36,20
191,0.210757,590,0.208471,3759,55,1544,2001,315291052181,92206944339046,167095277222728,0,never,485,0,0.210757,3970186299263,27,20,33,13
192,0.206934,595,0.204698,3684,55,1526,2001,419443838152,96570571907681,175853511069916,0,never,485,0,0.206934,4037183146095,20,15,40,15
193,0.209656,595,0.207510,3489,49,1535,2001,312700776532,101262647074226,171936248401739,0,never,480,0,0.209656,4042819724576,27,26,33,12
